Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
10083052,MALARIA_ACT_TREATED,COUNTRY,CAF,AFR,Africa,YEAR,2023,,,,,,,,,3 449 396,3449396,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
10127925,MALARIA_ACT_TREATED,COUNTRY,SLE,AFR,Africa,YEAR,2021,,,,,,,,,3 394 004,3394004,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
10131425,MALARIA_ACT_TREATED,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2020,,,,,,,,,8,8,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
10140943,MALARIA_ACT_TREATED,COUNTRY,COD,AFR,Africa,YEAR,2021,,,,,,,,,18 535 664,18535664,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
10150443,MALARIA_ACT_TREATED,COUNTRY,MLI,AFR,Africa,YEAR,2021,,,,,,,,,2 126 004,2126004,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
10165074,MALARIA_ACT_TREATED,COUNTRY,SEN,AFR,Africa,YEAR,2023,,,,,,,,,306 095,306095,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
10186328,MALARIA_ACT_TREATED,COUNTRY,CAF,AFR,Africa,YEAR,2020,,,,,,,,,1 740 970,1740970,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
10221742,MALARIA_ACT_TREATED,COUNTRY,SSD,AFR,Africa,YEAR,2023,,,,,,,,,663 179,663179,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
10222093,MALARIA_ACT_TREATED,COUNTRY,IND,SEAR,South-East Asia,YEAR,2022,,,,,,,,,101 070,101070,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
10231726,MALARIA_ACT_TREATED,COUNTRY,PER,AMR,Americas,YEAR,2021,,,,,,,,,3595,3595,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
22079,MALARIA_ACT_TREATED,COUNTRY,ZMB,AFR,Africa,YEAR,2024,,,,,,,,,9 846 969,9846969,,,,2025-12-19T14:38:23Z,2024,01/01/2024,31/12/2024,,
50642,MALARIA_ACT_TREATED,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2022,,,,,,,,,119,119,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
51660,MALARIA_ACT_TREATED,COUNTRY,VNM,WPR,Western Pacific,YEAR,2018,,,,,,,,,4525,4525,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
59537,MALARIA_ACT_TREATED,COUNTRY,BOL,AMR,Americas,YEAR,2021,,,,,,,,,9959,9959,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
70098,MALARIA_ACT_TREATED,COUNTRY,SLE,AFR,Africa,YEAR,2020,,,,,,,,,658 948,658948,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
71461,MALARIA_ACT_TREATED,COUNTRY,HND,AMR,Americas,YEAR,2020,,,,,,,,,0,0,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
81696,MALARIA_ACT_TREATED,COUNTRY,BOL,AMR,Americas,YEAR,2018,,,,,,,,,5920,5920,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
139038,MALARIA_ACT_TREATED,COUNTRY,VUT,WPR,Western Pacific,YEAR,2022,,,,,,,,,1141,1141,,,,2025-12-19T14:38:23Z,2022,01/01/2022,31/12/2022,,
149861,MALARIA_ACT_TREATED,COUNTRY,GNB,AFR,Africa,YEAR,2023,,,,,,,,,98 693,98693,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
151069,MALARIA_ACT_TREATED,COUNTRY,VNM,WPR,Western Pacific,YEAR,2023,,,,,,,,,124,124,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
195544,MALARIA_ACT_TREATED,COUNTRY,ETH,AFR,Africa,YEAR,2019,,,,,,,,,836 293,836293,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
199427,MALARIA_ACT_TREATED,COUNTRY,THA,SEAR,South-East Asia,YEAR,2019,,,,,,,,,536,536,,,,2025-12-19T14:38:23Z,2019,01/01/2019,31/12/2019,,
220590,MALARIA_ACT_TREATED,COUNTRY,CRI,AMR,Americas,YEAR,2021,,,,,,,,,12,12,,,,2025-12-19T14:38:23Z,2021,01/01/2021,31/12/2021,,
228948,MALARIA_ACT_TREATED,COUNTRY,MLI,AFR,Africa,YEAR,2020,,,,,,,,,1 793 074,1793074,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
236576,MALARIA_ACT_TREATED,COUNTRY,AGO,AFR,Africa,YEAR,2018,,,,,,,,,6 092 332,6092332,,,,2025-12-19T14:38:23Z,2018,01/01/2018,31/12/2018,,
247294,MALARIA_ACT_TREATED,COUNTRY,BRA,AMR,Americas,YEAR,2023,,,,,,,,,49 393,49393,,,,2025-12-19T14:38:23Z,2023,01/01/2023,31/12/2023,,
261021,MALARIA_ACT_TREATED,COUNTRY,COG,AFR,Africa,YEAR,2020,,,,,,,,,103 692,103692,,,,2025-12-19T14:38:23Z,2020,01/01/2020,31/12/2020,,
