Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9608055,MALARIA_EST_MORTALITY,COUNTRY,MYS,WPR,Western Pacific,YEAR,2008,,,,,,,,,1.81 [1.81-1.81],1.813562181,1.813562181,1.813562181,,2025-12-19T14:27:58Z,2008,01/01/2008,31/12/2008,,
9609149,MALARIA_EST_MORTALITY,COUNTRY,SLE,AFR,Africa,YEAR,2000,,,,,,,,,312.57 [293.49-332.19],312.5726923,293.4926918,332.1946708,,2025-12-19T14:27:58Z,2000,01/01/2000,31/12/2000,,
9627467,MALARIA_EST_MORTALITY,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2009,,,,,,,,,7.13 [3.18-12.94],7.132855207,3.184251392,12.93543528,,2025-12-19T14:27:58Z,2009,01/01/2009,31/12/2009,,
9631035,MALARIA_EST_MORTALITY,COUNTRY,TKM,EUR,Europe,YEAR,2005,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2005,01/01/2005,31/12/2005,,
9632720,MALARIA_EST_MORTALITY,COUNTRY,KOR,WPR,Western Pacific,YEAR,2015,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2015,01/01/2015,31/12/2015,,
9645044,MALARIA_EST_MORTALITY,COUNTRY,TJK,EUR,Europe,YEAR,2000,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:27:58Z,2000,01/01/2000,31/12/2000,,
9652781,MALARIA_EST_MORTALITY,COUNTRY,NGA,AFR,Africa,YEAR,2020,,,,,,,,,93.58 [71.90-125.65],93.57970739,71.89690222,125.6541349,,2025-12-19T14:27:58Z,2020,01/01/2020,31/12/2020,,
9656843,MALARIA_EST_MORTALITY,COUNTRY,ZWE,AFR,Africa,YEAR,2001,,,,,,,,,26.25 [4.75-76.46],26.2543813,4.752043015,76.46363137,,2025-12-19T14:27:58Z,2001,01/01/2001,31/12/2001,,
9659175,MALARIA_EST_MORTALITY,COUNTRY,RWA,AFR,Africa,YEAR,2017,,,,,,,,,25.46 [24.29-27.06],25.46291364,24.29098038,27.06100445,,2025-12-19T14:27:58Z,2017,01/01/2017,31/12/2017,,
9678557,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2012,,,,,,,,,18.49 [17.96-19.09],18.48559588,17.9605939,19.0934929,,2025-12-19T14:27:58Z,2012,01/01/2012,31/12/2012,,
