Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,
9557968,MALARIA_EST_INCIDENCE,COUNTRY,CRI,AMR,Americas,YEAR,2004,,,,,,,,,0.88 [0.88-0.88],0.876854643,0.876854643,0.876854643,,2025-12-19T14:24:05Z,2004,01/01/2004,31/12/2004,,
9567839,MALARIA_EST_INCIDENCE,COUNTRY,SEN,AFR,Africa,YEAR,2016,,,,,,,,,45.50 [31.24-61.43],45.5038804,31.24255879,61.42858402,,2025-12-19T14:24:05Z,2016,01/01/2016,31/12/2016,,
9569937,MALARIA_EST_INCIDENCE,COUNTRY,SLV,AMR,Americas,YEAR,2000,,,,,,,,,0.62 [0.62-0.62],0.624117802,0.624117802,0.624117802,,2025-12-19T14:24:05Z,2000,01/01/2000,31/12/2000,,
9571086,MALARIA_EST_INCIDENCE,COUNTRY,ZWE,AFR,Africa,YEAR,2019,,,,,,,,,65.09 [39.08-93.49],65.09225256,39.08498957,93.49224667,,2025-12-19T14:24:05Z,2019,01/01/2019,31/12/2019,,
9589093,MALARIA_EST_INCIDENCE,COUNTRY,ARM,EUR,Europe,YEAR,2015,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2015,01/01/2015,31/12/2015,,
9590084,MALARIA_EST_INCIDENCE,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,44.26 [28.07-67.19],44.25520896,28.06751507,67.19466169,,2025-12-19T14:24:05Z,2021,01/01/2021,31/12/2021,,
9600635,MALARIA_EST_INCIDENCE,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2010,,,,,,,,,3.80 [1.87-7.96],3.802783679,1.873137948,7.959081035,,2025-12-19T14:24:05Z,2010,01/01/2010,31/12/2010,,
9602358,MALARIA_EST_INCIDENCE,COUNTRY,BWA,AFR,Africa,YEAR,2007,,,,,,,,,1.02 [0.39-2.53],1.019660829,0.387502683,2.531019945,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9608295,MALARIA_EST_INCIDENCE,COUNTRY,PER,AMR,Americas,YEAR,2014,,,,,,,,,7.10 [5.81-8.47],7.096206882,5.812838896,8.465153588,,2025-12-19T14:24:05Z,2014,01/01/2014,31/12/2014,,
9621646,MALARIA_EST_INCIDENCE,COUNTRY,BEN,AFR,Africa,YEAR,2018,,,,,,,,,407.71 [323.78-507.24],407.709079,323.7784946,507.2398944,,2025-12-19T14:24:05Z,2018,01/01/2018,31/12/2018,,
9627096,MALARIA_EST_INCIDENCE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2011,,,,,,,,,10.54 [8.28-13.32],10.54455854,8.280671637,13.31586639,,2025-12-19T14:24:05Z,2011,01/01/2011,31/12/2011,,
9627245,MALARIA_EST_INCIDENCE,COUNTRY,STP,AFR,Africa,YEAR,2017,,,,,,,,,10.82 [10.82-10.82],10.81799295,10.81799295,10.81799295,,2025-12-19T14:24:05Z,2017,01/01/2017,31/12/2017,,
9631240,MALARIA_EST_INCIDENCE,COUNTRY,KGZ,EUR,Europe,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2017,01/01/2017,31/12/2017,,
9638318,MALARIA_EST_INCIDENCE,COUNTRY,PAN,AMR,Americas,YEAR,2009,,,,,,,,,0.34 [0.33-0.37],0.342945437,0.330383333,0.36597596,,2025-12-19T14:24:05Z,2009,01/01/2009,31/12/2009,,
9645282,MALARIA_EST_INCIDENCE,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2014,,,,,,,,,8.69 [6.39-12.05],8.689697833,6.386417221,12.05395759,,2025-12-19T14:24:05Z,2014,01/01/2014,31/12/2014,,
9653279,MALARIA_EST_INCIDENCE,COUNTRY,THA,SEAR,South-East Asia,YEAR,2010,,,,,,,,,2.50 [2.50-2.50],2.495843782,2.495843782,2.495843782,,2025-12-19T14:24:05Z,2010,01/01/2010,31/12/2010,,
9658413,MALARIA_EST_INCIDENCE,REGION,EMR,,,YEAR,2012,,,,,,,,,9.38 [7.18-13.27],9.376964286,7.184803971,13.26971963,,2025-12-19T14:24:05Z,2012,01/01/2012,31/12/2012,,
9658844,MALARIA_EST_INCIDENCE,COUNTRY,VEN,AMR,Americas,YEAR,2007,,,,,,,,,3.53 [3.15-4.12],3.532378071,3.150154061,4.116570574,,2025-12-19T14:24:05Z,2007,01/01/2007,31/12/2007,,
9659442,MALARIA_EST_INCIDENCE,REGION,AMR,,,YEAR,2004,,,,,,,,,9.19 [8.57-9.89],9.188659366,8.56724223,9.889306114,,2025-12-19T14:24:05Z,2004,01/01/2004,31/12/2004,,
9677736,MALARIA_EST_INCIDENCE,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,0.01 [0.01-0.01],0.011313098,0.011313098,0.011313098,,2025-12-19T14:24:05Z,2013,01/01/2013,31/12/2013,,
9687859,MALARIA_EST_INCIDENCE,COUNTRY,IDN,WPR,Western Pacific,YEAR,2008,,,,,,,,,5.28 [4.36-6.50],5.283877749,4.359532882,6.500628047,,2025-12-19T14:24:05Z,2008,01/01/2008,31/12/2008,,
9696291,MALARIA_EST_INCIDENCE,COUNTRY,CRI,AMR,Americas,YEAR,2012,,,,,,,,,0 [0-0],0.004288228,0.004288228,0.004288228,,2025-12-19T14:24:05Z,2012,01/01/2012,31/12/2012,,
9698046,MALARIA_EST_INCIDENCE,COUNTRY,TCD,AFR,Africa,YEAR,2009,,,,,,,,,245.10 [186.50-318.48],245.1041848,186.501472,318.4824567,,2025-12-19T14:24:05Z,2009,01/01/2009,31/12/2009,,
9700556,MALARIA_EST_INCIDENCE,COUNTRY,BLZ,AMR,Americas,YEAR,2014,,,,,,,,,0.08 [0.08-0.08],0.078918075,0.078918075,0.078918075,,2025-12-19T14:24:05Z,2014,01/01/2014,31/12/2014,,
9707436,MALARIA_EST_INCIDENCE,COUNTRY,NGA,AFR,Africa,YEAR,2005,,,,,,,,,395.90 [318.82-487.01],395.897142,318.8226207,487.0066284,,2025-12-19T14:24:05Z,2005,01/01/2005,31/12/2005,,
9708887,MALARIA_EST_INCIDENCE,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,0 [0-0],0,0,0,,2025-12-19T14:24:05Z,2001,01/01/2001,31/12/2001,,
9714335,MALARIA_EST_INCIDENCE,REGION,EMR,,,YEAR,2019,,,,,,,,,10.90 [8.49-14.28],10.89825621,8.488892745,14.2835954,,2025-12-19T14:24:05Z,2019,01/01/2019,31/12/2019,,
