Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
8944331,MALARIA_IRS_COVERAGE,COUNTRY,BDI,AFR,Africa,YEAR,2021,,,,,,,,,914 778,914778,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
9350326,MALARIA_IRS_COVERAGE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2024,,,,,,,,,6 599 264,6599264,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
2424605,MALARIA_IRS_COVERAGE,COUNTRY,PAN,AMR,Americas,YEAR,2019,,,,,,,,,12 806,12806,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
10037558,MALARIA_IRS_COVERAGE,GLOBAL,GLOBAL,,,YEAR,2015,,,,,,,,,127 453 762,127453762,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
3231182,MALARIA_IRS_COVERAGE,COUNTRY,THA,SEAR,South-East Asia,YEAR,2020,,,,,,,,,219 162,219162,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
9957284,MALARIA_IRS_COVERAGE,COUNTRY,PER,AMR,Americas,YEAR,2024,,,,,,,,,72 930,72930,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
6617996,MALARIA_IRS_COVERAGE,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,1 657 670,1657670,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
7818472,MALARIA_IRS_COVERAGE,COUNTRY,ZWE,AFR,Africa,YEAR,2020,,,,,,,,,3 528 051,3528051,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
5124661,MALARIA_IRS_COVERAGE,REGION,EMR,,,YEAR,2018,,,,,,,,,10 126 027,10126027,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
8344323,MALARIA_IRS_COVERAGE,COUNTRY,PRY,AMR,Americas,YEAR,2022,,,,,,,,,4487,4487,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
7224699,MALARIA_IRS_COVERAGE,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,798 707,798707,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
1562396,MALARIA_IRS_COVERAGE,COUNTRY,ZMB,AFR,Africa,YEAR,2016,,,,,,,,,6 737 918,6737918,,,,2025-12-19T14:55:21Z,2016,01/01/2016,31/12/2016,,,
9856251,MALARIA_IRS_COVERAGE,COUNTRY,SWZ,AFR,Africa,YEAR,2016,,,,,,,,,24 179,24179,,,,2025-12-19T14:55:21Z,2016,01/01/2016,31/12/2016,,,
10145580,MALARIA_IRS_COVERAGE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2017,,,,,,,,,39 341 409,39341409,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
8154659,MALARIA_IRS_COVERAGE,COUNTRY,THA,SEAR,South-East Asia,YEAR,2015,,,,,,,,,348 713,348713,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
9523786,MALARIA_IRS_COVERAGE,COUNTRY,HND,AMR,Americas,YEAR,2018,,,,,,,,,338 730,338730,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
6719421,MALARIA_IRS_COVERAGE,COUNTRY,ERI,AFR,Africa,YEAR,2021,,,,,,,,,444 318,444318,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
10075702,MALARIA_IRS_COVERAGE,COUNTRY,BWA,AFR,Africa,YEAR,2017,,,,,,,,,139 244,139244,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
2738436,MALARIA_IRS_COVERAGE,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,2 937 767,2937767,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
1695529,MALARIA_IRS_COVERAGE,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2024,,,,,,,,,267 940,267940,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
9299782,MALARIA_IRS_COVERAGE,COUNTRY,STP,AFR,Africa,YEAR,2015,,,,,,,,,143 571,143571,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
4680778,MALARIA_IRS_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2021,,,,,,,,,4 466 905,4466905,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
2877536,MALARIA_IRS_COVERAGE,GLOBAL,GLOBAL,,,YEAR,2019,,,,,,,,,100 768 525,100768525,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
