Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
1014732,MALARIA_ITN_COVERAGE,COUNTRY,GMB,AFR,Africa,YEAR,2015,,,,,,,,,53.21,53.2068393,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
4401695,MALARIA_ITN_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2023,,,,,,,,,50.23,50.2299155,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
77228,MALARIA_ITN_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2020,,,,,,,,,35.82,35.8184429,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
7939276,MALARIA_ITN_COVERAGE,COUNTRY,COM,AFR,Africa,YEAR,2023,,,,,,,,,48.77,48.7717545,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
9306138,MALARIA_ITN_COVERAGE,COUNTRY,COD,AFR,Africa,YEAR,2024,,,,,,,,,69.88,69.8808405,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
7793547,MALARIA_ITN_COVERAGE,COUNTRY,AGO,AFR,Africa,YEAR,2021,,,,,,,,,11.63,11.6333981,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
7212400,MALARIA_ITN_COVERAGE,COUNTRY,GNB,AFR,Africa,YEAR,2015,,,,,,,,,65.02,65.0157605,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
3440710,MALARIA_ITN_COVERAGE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,64.76,64.759153,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
7168024,MALARIA_ITN_COVERAGE,COUNTRY,MRT,AFR,Africa,YEAR,2017,,,,,,,,,30.05,30.0450107,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
10056942,MALARIA_ITN_COVERAGE,COUNTRY,COG,AFR,Africa,YEAR,2016,,,,,,,,,42.69,42.6928168,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
1281119,MALARIA_ITN_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2020,,,,,,,,,41.74,41.7414878,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
919951,MALARIA_ITN_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2019,,,,,,,,,60.58,60.5814947,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
9084662,MALARIA_ITN_COVERAGE,COUNTRY,TGO,AFR,Africa,YEAR,2020,,,,,,,,,61.02,61.0207481,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
2716055,MALARIA_ITN_COVERAGE,COUNTRY,GAB,AFR,Africa,YEAR,2021,,,,,,,,,13.23,13.2332838,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
3029581,MALARIA_ITN_COVERAGE,COUNTRY,ZMB,AFR,Africa,YEAR,2016,,,,,,,,,35.71,35.7106412,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
8237222,MALARIA_ITN_COVERAGE,COUNTRY,GNB,AFR,Africa,YEAR,2024,,,,,,,,,35.54,35.540325,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
6283228,MALARIA_ITN_COVERAGE,COUNTRY,GNQ,AFR,Africa,YEAR,2020,,,,,,,,,38.99,38.9916196,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
1581727,MALARIA_ITN_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2018,,,,,,,,,68.04,68.0430073,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
3825890,MALARIA_ITN_COVERAGE,COUNTRY,LBR,AFR,Africa,YEAR,2016,,,,,,,,,61.65,61.6485652,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
3598283,MALARIA_ITN_COVERAGE,COUNTRY,MRT,AFR,Africa,YEAR,2020,,,,,,,,,25.47,25.4680386,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
5833784,MALARIA_ITN_COVERAGE,COUNTRY,TZA,AFR,Africa,YEAR,2022,,,,,,,,,58.72,58.7192848,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
3073735,MALARIA_ITN_COVERAGE,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2024,,,,,,,,,25.94,25.937714,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
10126998,MALARIA_ITN_COVERAGE,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,6.34,6.3424049,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
2716220,MALARIA_ITN_COVERAGE,COUNTRY,GIN,AFR,Africa,YEAR,2021,,,,,,,,,50.19,50.1903078,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
3503823,MALARIA_ITN_COVERAGE,COUNTRY,MRT,AFR,Africa,YEAR,2016,,,,,,,,,7.32,7.3219641,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
9888296,MALARIA_ITN_COVERAGE,COUNTRY,CMR,AFR,Africa,YEAR,2019,,,,,,,,,70.02,70.0188686,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
6479284,MALARIA_ITN_COVERAGE,COUNTRY,ETH,AFR,Africa,YEAR,2021,,,,,,,,,19.51,19.5132411,,,,2025-12-19T14:59:35Z,2021,01/01/2021,31/12/2021,,,
3269655,MALARIA_ITN_COVERAGE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,60.45,60.4528005,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
9951528,MALARIA_ITN_COVERAGE,COUNTRY,TGO,AFR,Africa,YEAR,2019,,,,,,,,,69.57,69.5749373,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
6554925,MALARIA_ITN_COVERAGE,COUNTRY,TGO,AFR,Africa,YEAR,2018,,,,,,,,,80.97,80.9681186,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
7547691,MALARIA_ITN_COVERAGE,COUNTRY,RWA,AFR,Africa,YEAR,2015,,,,,,,,,61.52,61.5243534,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
5485465,MALARIA_ITN_COVERAGE,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,29.57,29.567738,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
8724282,MALARIA_ITN_COVERAGE,COUNTRY,COG,AFR,Africa,YEAR,2019,,,,,,,,,66.25,66.2456509,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
